Report ID,Title,Publish Date,Start Date,End Date,Summary,URL,Source Name,Source Description,Source City,Source State,Categories,Places,
163178,Fire restrictions extended to Nov. 30 in Central Utah - Sanpete Messenger (UT),11/05/2020,11/05/2020,11/30/2020,,http://sanpetemessenger.com/archives/20291,,,Manti,UT,"Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
163152,"State fire managers extend fire season, local and federal fire restrictions continue - St. George News (UT)",10/25/2020,09/28/2020,11/30/2020,,https://www.stgeorgeutah.com/news/archive/2020/10/25/mgk-state-fire-managers-extend-fire-season-local-and-federal-fire-restrictions-continue/,,,Saint George,UT,"Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
150087,"Utah agencies report spike in human-caused fires, urge responsible public land use - KSL-TV NBC 5 (UT)",05/27/2020,01/01/2020,05/26/2020,,http://www.ksl.com/article/46757731/utah-agencies-report-spike-in-human-caused-fires-urge-responsible-public-land-use,,updated 20200528,Salt Lake City,UT,Fire,Utah,
115363,Gov. Herbert declares drought emergency for all of Utah - Salt Lake Tribune (UT),10/16/2018,10/15/2018, ,,https://www.sltrib.com/news/environment/2018/10/15/gov-herbert-declares/,,good,Salt Lake City,UT,"Agriculture, Fire, General Awareness, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
136131,Utah's year-old emergency drought declaration rescinded - KMYU (UT),09/30/2019,10/01/2018,09/30/2019,,http://kmyu.tv/news/local/utahs-year-old-emergency-drought-declaration-rescinded,,,Salt Lake City,UT,"Relief, Response & Restrictions, Water Supply & Quality",Utah,
108439,"As Fire Season Ramps Up, Gov. Herbert Announces Fireworks Ban On State Lands - KUER-FM 90.1 (UT)",06/28/2018,06/28/2018, ,,http://kuer.org/post/fire-season-ramps-gov-herbert-announces-fireworks-ban-state-lands,,,Salt Lake City,UT,"Fire, Relief, Response & Restrictions","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
125457,Salt Lake City nears end of drought as precipitation levels cross spring average - KSL-TV NBC 5 (UT),04/16/2019,04/01/2018,09/30/2018,,http://www.ksl.com/article/46533345/salt-lake-city-nears-end-of-drought-as-precipitation-levels-cross-spring-average,,updated 20200528,Salt Lake City,UT,"General Awareness, Tourism & Recreation","Utah, Salt Lake City, UT",
101539,"Gov. Herbert asks for prayers for snow, citing ‘dangerously low’ snowpacks across the state - St. George News (UT)",03/05/2018,02/22/2018, ,,http://www.stgeorgeutah.com/news/archive/2018/03/05/mgk-gov-herbert-asks-for-prayers-for-snow-citing-dangerously-low-snowpacks-across-the-state/#.Wp71eiVG1pg,,,Saint George,UT,"Relief, Response & Restrictions, Society & Public Health, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Cache County, UT, Carbon County, UT, Daggett County, UT, Davis County, UT, Duchesne County, UT, Emery County, UT, Garfield County, UT, Grand County, UT, Iron County, UT, Juab County, UT, Kane County, UT, Millard County, UT, Morgan County, UT, Piute County, UT, Rich County, UT, Salt Lake County, UT, San Juan County, UT, Sanpete County, UT, Sevier County, UT, Summit County, UT, Tooele County, UT, Uintah County, UT, Utah County, UT, Wasatch County, UT, Washington County, UT, Wayne County, UT, Weber County, UT",
112131,Utah experiencing worst wildfire season in 15 years - Bryan-College Station Eagle (TX),08/26/2018,01/01/2018,08/26/2018,,https://www.theeagle.com/news/nation/utah-experiencing-worst-wildfire-season-in-years/article_811a108c-4cdd-5e96-8195-cc185d330a29.html,,good,Bryan,TX,Fire,Utah,
28957,"Low water year, high fire risk dominates legislative discussion - Salt Lake City Deseret Morning News (UT)",01/30/2014,01/29/2014, ,,http://www.deseretnews.com/article/865595140/Low-water-year-high-fire-risk-dominates-legislative-discussion.html,,updated 20200520,Salt Lake City,UT,"Fire, Water Supply & Quality",Utah,
26034,State issues fire restrictions - Richfield Reaper (UT),07/07/2013,07/04/2013, ,,http://www.richfieldreaper.com/news/local/article_e539f884-e355-11e2-a408-001a4bcf887a.html,,good,Richfield,UT,"Fire, Relief, Response & Restrictions",Utah,
144430,Drought leads DWR to approve more elk permits - Salt Lake City Deseret Morning News (UT),09/02/2012,09/02/2012, ,,https://www.deseret.com/2012/9/2/20506204/drought-leads-dwr-to-approve-more-elk-permits,,updated 20200520,Salt Lake City,UT,"Plants & Wildlife, Relief, Response & Restrictions, Tourism & Recreation",Utah,
22028,DEA cites dramatic drop in marijuana grown in Utah - Salt Lake Tribune (UT),11/01/2012,01/01/2012,11/01/2012,"Marijuana growers in Utah struggled to produce their crop during a drought year, leaving the U.S. Drug Enforcement Agency to seize just 13,167 pot plants, which was less than 20 percent of the number of plants found last year.",http://www.sltrib.com/sltrib/news/55193620-78/marijuana-utah-smith-enforcement.html.csp,,good,Salt Lake City,UT,"Agriculture, Society & Public Health",Utah,
26282,Wildfires and guns: should steel bullets be outlawed? - Salt Lake Tribune (UT),07/25/2013,01/01/2012,12/31/2012,,http://www.sltrib.com/sltrib/politics/56626213-90/steel-fire-utah-blm.html.csp,,good,Salt Lake City,UT,Fire,Utah,
94149,19 wildfires sparked by guns in Utah so far - Arizona Republic (Phoenix) & AZCentral.com (AZ),06/21/2012,01/01/2012,06/21/2012,,http://www.azcentral.com/news/articles/2012/06/21/20120621utah-wildfires-sparked-by-guns.html,,Previously Arizona Republic (Phoenix) & AZCentral.com,Phoenix,AZ,"Fire, General Awareness",Utah,
94150,19 wildfires sparked by guns in Utah so far - U-T San Diego (CA),06/21/2012,01/01/2012,06/21/2012,,http://www.sandiegouniontribune.com/sdut-19-wildfires-sparked-by-guns-in-utah-so-far-2012jun21-story.html,,,San Diego,CA,"Fire, General Awareness, Tourism & Recreation",Utah,
33574,Deadline approaching for federal livestock assistance - Richfield Reaper (UT),01/27/2015,10/01/2011,12/31/2014,,http://www.richfieldreaper.com/news/local/article_1708f83e-a659-11e4-a239-eb93e8cad78a.html,,good,Richfield,UT,"Agriculture, Relief, Response & Restrictions",Utah,
901,That's snow fair!,01/14/2009,01/14/2009, ,,http://www.richfieldreaper.com/articles/2009/01/13/news/02.txt,,good,Richfield,UT,General Awareness,Utah,
90972,"Leavitt declares statewide drought, activates Utah's emergency management operations - Price Sun Advocate (UT)",04/30/2002,04/24/2002, ,,http://www.sunad.com/archives/leavitt-declares-statewide-drought-activates-utah-s-emergency-management-operations/article_bc4fd88e-37be-57c2-bf33-7df81dfb24e1.html,,,Price,UT,"Agriculture, Relief, Response & Restrictions",Utah,
5914,Area water levels below average,10/08/2009, , ,,http://www.thespectrum.com/article/20091008/NEWS01/910080301&referrer=FRONTPAGECAROUSEL,,Print,Saint George,UT,General Awareness,Utah,
6662,Scientists find patterns in Utah's wet-dry cycles,11/27/2009, , ,,http://www.sltrib.com/davis/ci_13681950,,good,Salt Lake City,UT,General Awareness,Utah,
7856,Scientists find patterns in Utah's wet-dry cycles,12/10/2009, , ,,http://www.sltrib.com/ci_13681950,,good,Salt Lake City,UT,General Awareness,Utah,
17118,"La Nina going away, but too late for Texas drought - Gainesville Sun (FL)",02/09/2012, , ,,http://www.gainesville.com/article/20120209/APW/1202091201,,updated 20200324,Gainesville,FL,General Awareness,Utah,
22035,El Niño likely a no-show; another dry winter in store for Utah? - Salt Lake Tribune (UT),10/23/2012, , ,,http://www.sltrib.com/sltrib/politics/55136338-90/weather-utah-climate-nino.html.csp,,good,Salt Lake City,UT,"Agriculture, Fire, General Awareness",Utah,
22037,Common sense in Utah's fire prone wildlands - Salt Lake Tribune (UT),06/01/2012, , ,,http://www.sltrib.com/sltrib/politics/54197685-90/fire-dry-county-utah.html.csp,,good,Salt Lake City,UT,Fire,Utah,
22042,Dry as dust: Drought has western Utah in choke hold - Salt Lake Tribune (UT),09/23/2012, , ,,http://www.sltrib.com/sltrib/news/54927835-78/drought-dry-utah-ranchers.html.csp,,good,Salt Lake City,UT,"Agriculture, General Awareness, Plants & Wildlife, Relief, Response & Restrictions, Water Supply & Quality","Utah, Beaver County, UT, Box Elder County, UT, Iron County, UT, Juab County, UT, Millard County, UT, Tooele County, UT, Washington County, UT",
22043,Thirsty Utah gets rain after long dry spell - Salt Lake Tribune (UT),07/05/2012, , ,,http://www.sltrib.com/sltrib/news/54434976-78/lake-rain-salt-mcinerney.html.csp,,good,Salt Lake City,UT,"Fire, General Awareness","Utah, Salt Lake City, UT",
22048,"Utah water situation grim, especially in the south - Salt Lake Tribune (UT)",06/06/2012, , ,,http://www.sltrib.com/sltrib/news/54256720-78/utah-snow-low-boats.html.csp,,good,Salt Lake City,UT,"Agriculture, Fire, General Awareness, Plants & Wildlife, Relief, Response & Restrictions, Tourism & Recreation, Water Supply & Quality",Utah,
22224,"Sheep industry facing volatile prices, drought - Farm Forum (SD)",11/16/2012, , ,,"http://www.aberdeennews.com/farmforum/news/livestock/aan-ff.11-16-12.sheepindustry-20121116,0,1735725.story",,,Aberdeen,SD,Agriculture,Utah,
22605,Forecast calls for drought to continue - Vernal Express (UT),12/13/2012, , ,,"http://www.vernal.com/stories/Forecast-calls-for-drought-to-continue,3434072?content_source=&category_id=&search_filter=&user_id=&event_mode=&event_ts_from=&list_type=&order_by=&order_sort=&content_class=1&sub_type=&town_id=&page=",,Print,Vernal,UT,General Awareness,Utah,
23438,"Snow relieves, but does not end drought - Vernal Express (UT)",02/28/2013, , ,,"http://www.vernal.com/stories/Snow-relieves-but-does-not-end-drought,3716104",,Print,Vernal,UT,General Awareness,Utah,
23847,Utahs dry winter makes water gurus uneasy about summer - Salt Lake Tribune (UT),04/04/2013, , ,,http://www.sltrib.com/sltrib/news/56107852-78/utah-normal-dry-http.html.csp,,good,Salt Lake City,UT,"Fire, General Awareness, Water Supply & Quality",Utah,
23861,Utahs dry winter makes water gurus uneasy about summer - Salt Lake Tribune (UT),04/04/2013, , ,,http://www.sltrib.com/sltrib/news/56107852-78/utah-font-normal-http.html.csp,,good,Salt Lake City,UT,"General Awareness, Water Supply & Quality",Utah,
25341,Utah reservoirs are drying up - Salt Lake Tribune (UT),06/06/2013, , ,,http://www.sltrib.com/sltrib/news/56415686-78/font-percent-utah-june.html.csp,,good,Salt Lake City,UT,"Agriculture, Water Supply & Quality",Utah,
26353,Drought and heat plague Utah farmers and ranchers - Salt Lake Tribune (UT),07/30/2013, , ,,http://www.sltrib.com/sltrib/news/56659624-78/mcmullin-utah-douglas-percent.html.csp,,good,Salt Lake City,UT,Agriculture,Utah,
26451,Rewind: Utah news you may have missed over the weekend - Salt Lake Tribune (UT),08/12/2013, , ,,http://www.sltrib.com/sltrib/news/56718531-78/sltrib-utah-com-http.html.csp,,good,Salt Lake City,UT,"Agriculture, Relief, Response & Restrictions",Utah,
26547,"Editorial: Save water, stop fires - Salt Lake Tribune (UT)",08/21/2013, , ,,http://www.sltrib.com/sltrib/opinion/56754797-82/hell-sltrib-hot-http.html.csp,,good,Salt Lake City,UT,"General Awareness, Relief, Response & Restrictions, Water Supply & Quality","Utah, Weber County, UT, Ogden, UT",
26591,Dry conditions continue through state - Richfield Reaper (UT),07/09/2013, , ,Many locations in southern Utah have gone 40 to 60 days without more than a trace of precipitation.,http://www.richfieldreaper.com/news/local/article_76283180-e8d8-11e2-9d0e-001a4bcf887a.html,,good,Richfield,UT,"General Awareness, Plants & Wildlife, Water Supply & Quality",Utah,
28895,"Utah forecast: A brief break from the storms, and then more snow - Salt Lake Tribune (UT)",02/10/2014, , ,,http://www.sltrib.com/sltrib/news/57522512-78/snow-utah-weather-storms.html.csp,,good,Salt Lake City,UT,General Awareness,Utah,
30301,"As Western range suffers, should Utah cull wildlife? - Salt Lake Tribune (UT)",05/19/2014, , ,,http://www.sltrib.com/sltrib/news/57944641-78/wildlife-elk-utah-board.html.csp,,good,Salt Lake City,UT,Plants & Wildlife,Utah,
30363,"Wildfire season is already here, Utah experts say - Salt Lake Tribune (UT)",05/22/2014, , ,,http://www.sltrib.com/sltrib/news/57976672-78/utah-fire-drought-season.html.csp,,good,Salt Lake City,UT,"Fire, General Awareness","Utah, Salt Lake County, UT",
30783,Drought brings disaster declaration for all of Utah - Salt Lake Tribune (UT),06/25/2014, , ,,http://www.sltrib.com/sltrib/politics/58113366-90/counties-disaster-utah-declaration.html.csp,,good,Salt Lake City,UT,"Agriculture, Relief, Response & Restrictions",Utah,
30923,Junes precipitation slim throughout southern Utah - Richfield Reaper (UT),07/10/2014, , ,,http://www.richfieldreaper.com/news/local/article_f0dab684-06df-11e4-b4f9-0019bb2963f4.html,,good,Richfield,UT,General Awareness,Utah,
31081,"Utah forecast: Hot, dry breezy; then hotter, drier and gusty - Salt Lake Tribune (UT)",07/22/2014, , ,,http://www.sltrib.com/sltrib/news/58209796-78/utah-com-forecast-http.html.csp,,good,Salt Lake City,UT,General Awareness,Utah,
31415,"Summer rain offers slight reprieve, but drought conditions remain - KSTU-FOX 13 (UT)",08/06/2014, , ,,http://fox13now.com/2014/08/06/summer-rain-offers-slight-reprieve-but-drought-conditions-remain/,,,Salt Lake City,UT,"Business & Industry, General Awareness, Relief, Response & Restrictions, Water Supply & Quality",Utah,
33132,Evacuation order lifted for Herriman fire - Salt Lake Tribune (UT),06/30/2012, , ,,http://www.sltrib.com/sltrib/news/54408524-78/fire-saturday-homes-acres.html.csp,,good,Salt Lake City,UT,Fire,Utah,
33178,"Utah forecast: Nice weather, for a camel - Salt Lake Tribune (UT)",06/20/2012, , ,,http://www.sltrib.com/sltrib/news/54339953-78/utah-weather-degrees-exception.html.csp,,good,Salt Lake City,UT,"Fire, General Awareness, Relief, Response & Restrictions",Utah,
33179,"Utah wildfire forces 9,000 residents out of their homes - Salt Lake Tribune (UT)",06/22/2012, , ,,http://www.sltrib.com/sltrib/news/54356138-78/fire-friday-utah-homes.html.csp,,good,Salt Lake City,UT,"Fire, Relief, Response & Restrictions",Utah,
34376,Utah officials hope for wet spring but prepare for worst - seattlepi.com (WA),03/22/2015, , ,,http://www.seattlepi.com/news/science/article/UT-water-managers-hope-for-wet-spring-but-prepare-6151563.php,,Seattle Post-Intelligencer,Seattle,WA,"General Awareness, Plants & Wildlife, Water Supply & Quality",Utah,
34470,Warm and dry conditions greet those trying to solve Utah's water woes - Salt Lake City Deseret Morning News (UT),03/16/2015, , ,,http://www.deseretnews.com/article/865624307/Warm-and-dry-conditions-greet-those-trying-to-solve-Utahs-water-woes.html,,updated 20200520,Salt Lake City,UT,"General Awareness, Water Supply & Quality",Utah,
34705,Utah official: ‘We’re expecting a bad fire season’ - Salt Lake Tribune (UT),04/19/2015, , ,,http://www.sltrib.com/news/2382213-155/utah-official-were-expecting-a-bad,,good,Salt Lake City,UT,"Fire, Relief, Response & Restrictions","Utah, Sevier County, UT, Wasatch County, UT",
