year,flow_ac_ft
1906,18214678
1907,21234305
1908,11773952
1909,21841427
1910,14736670
1911,15125081
1912,19082127
1913,14472192
1914,21066767
1915,14137603
1916,19187542
1917,23849259
1918,15750724
1919,12951469
1920,21927976
1921,22703070
1922,18524420
1923,18327468
1924,14650942
1925,13514438
1926,16248626
1927,18689765
1928,17770602
1929,21791156
1930,15130571
1931,8868682
1932,17809509
1933,12312744
1934,6589700
1935,12248940
1936,14521432
1937,14159154
1938,17918453
1939,11699708
1940,9422918
1941,18269619
1942,19333147
1943,13613558
1944,15422647
1945,14040218
1946,11000258
1947,15851265
1948,15761665
1949,16733517
1950,13111501
1951,12445707
1952,20850053
1953,11154855
1954,8304000
1955,9709235
1956,11622348
1957,20211418
1958,16870816
1959,9245100
1960,11977277
1961,9199061
1962,17760809
1963,9115209
1964,10381353
1965,18358969
1966,11060726
1967,11708544
1968,13338625
1969,14452503
1970,15055808
1971,14845450
1972,12398440
1973,19271376
1974,12965679
1975,16565941
1976,11201164
1977,5435281
1978,14892801
1979,17609595
1980,17309701
1981,8638712
1982,16724911
1983,23729841
1984,24177981
1985,21044575
1986,22368445
1987,16596465
1988,11668810
1989,9552232
1990,8974011
1991,12344601
1992,11068530
1993,18697528
1994,10611249
1995,19872761
1996,14052945
1997,21184925
1998,16968573
1999,16452831
2000,10541308
2001,11023149
2002,5870736
2003,10455249
2004,9443222
2005,17117932
2006,12627808
2007,12567529
2008,16315600
2009,14306982
2010,12326232
2011,20207163
2012,8442054
2013,8973286
2014,14100670
2015,13433124
2016,13477814
2017,16476397
2018,8614203